,cleaningDay,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,isolate_sick,isolation_time,icu_hcw_wash_rate,outside_hcw_wash_rate,height,width
227,30,227,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
228,30,228,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
229,30,229,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
230,30,230,3,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
231,30,231,2,6,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
232,30,232,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
233,30,233,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
234,30,234,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
235,30,235,0,6,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
236,30,236,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
237,30,237,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
238,30,238,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
239,30,239,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
240,30,240,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
241,30,241,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
242,30,242,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
243,30,243,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
244,30,244,3,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
245,30,245,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
246,30,246,3,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
247,30,247,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
248,30,248,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
249,30,249,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
250,30,250,3,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
251,30,251,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
252,30,252,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
253,30,253,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
254,30,254,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
255,30,255,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
256,30,256,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
257,30,257,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
258,30,258,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
259,30,259,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
260,30,260,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
261,30,261,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
262,30,262,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
263,30,263,1,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
264,30,264,1,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
265,30,265,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
266,30,266,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
267,30,267,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
268,30,268,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
269,30,269,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
270,30,270,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
271,30,271,2,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
272,30,272,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
273,30,273,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
274,30,274,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
275,30,275,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
276,30,276,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
277,30,277,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
278,30,278,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
279,30,279,1,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
280,30,280,2,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
281,30,281,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
282,30,282,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
283,30,283,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
284,30,284,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
285,30,285,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
286,30,286,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
287,30,287,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
288,30,288,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
289,30,289,0,0,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
290,30,290,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
291,30,291,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
292,30,292,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
293,30,293,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
294,30,294,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
295,30,295,0,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
296,30,296,2,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
297,30,297,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
298,30,298,3,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
299,30,299,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
300,30,300,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
301,30,301,1,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
302,30,302,0,3,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
303,30,303,0,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
304,30,304,2,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
305,30,305,1,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
306,30,306,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
307,30,307,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
308,30,308,6,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
309,30,309,1,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
310,30,310,1,2,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
311,30,311,1,5,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
312,30,312,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
313,30,313,0,4,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
314,30,314,2,1,0.01,0.003,5e-05,0.75,True,14,0.9,0.9,11,32
