,icu_hcw_wash_rate,Run,HCW_related_infecs,Number_of_Patients_sick,prob_patient_sick,prob_new_patient,prob_transmission,isolation_factor,cleaningDay,isolate_sick,isolation_time,outside_hcw_wash_rate,height,width
181,0.99,181,5,6,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
182,0.99,182,12,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
183,0.99,183,8,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
184,0.99,184,7,5,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
185,0.99,185,7,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
186,0.99,186,9,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
187,0.99,187,10,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
188,0.99,188,3,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
189,0.99,189,5,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
190,0.99,190,6,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
191,0.99,191,6,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
192,0.99,192,5,0,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
193,0.99,193,9,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
194,0.99,194,5,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
195,0.99,195,4,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
196,0.99,196,6,4,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
197,0.99,197,7,1,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
198,0.99,198,8,2,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
199,0.99,199,3,3,0.01,0.003,5e-05,0.75,360,True,14,0.9,11,32
